[2024-11-02T19:41:38.414+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-10-22T00:00:00+00:00 [queued]>
[2024-11-02T19:41:38.440+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-10-22T00:00:00+00:00 [queued]>
[2024-11-02T19:41:38.440+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2024-11-02T19:41:38.722+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2024-10-22 00:00:00+00:00
[2024-11-02T19:41:38.739+0000] {standard_task_runner.py:57} INFO - Started process 2874 to run task
[2024-11-02T19:41:38.747+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2024-10-22T00:00:00+00:00', '--job-id', '186', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmph57sczn9']
[2024-11-02T19:41:38.753+0000] {standard_task_runner.py:85} INFO - Job 186: Subtask generate_txn_fact_data
[2024-11-02T19:41:38.927+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-10-22T00:00:00+00:00 [running]> on host f79a3875bd34
[2024-11-02T19:41:39.240+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='codewithyu' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-10-22T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-10-22T00:00:00+00:00'
[2024-11-02T19:41:39.254+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.2', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.2', 9092) IPv4]
[2024-11-02T19:41:39.255+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2024-11-02T19:41:39.260+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.2', 9092)]>: Connection complete.
[2024-11-02T19:41:39.376+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2024-11-02T19:41:39.383+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-11-02T19:41:39.424+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1727984499407, 'account_id': 'A00375', 'customer_id': 'C00672', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00906', 'transaction_amount': 7175.87, 'exchange_rate': 1.2438}
[2024-11-02T19:41:39.425+0000] {conn.py:380} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.2', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.2', 9092) IPv4]
[2024-11-02T19:41:39.431+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1721504499431, 'account_id': 'A00169', 'customer_id': 'C00806', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00287', 'transaction_amount': 8499.25, 'exchange_rate': 1.0137}
[2024-11-02T19:41:39.435+0000] {conn.py:410} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.2', 9092)]>: Connection complete.
[2024-11-02T19:41:39.451+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.2', 9092)]>: Closing connection. 
[2024-11-02T19:41:39.447+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1702410099441, 'account_id': 'A00582', 'customer_id': 'C00588', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00162', 'transaction_amount': 2068.56, 'exchange_rate': 0.9994}
[2024-11-02T19:41:39.473+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1720467699473, 'account_id': 'A00381', 'customer_id': 'C00823', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00171', 'transaction_amount': 4233.61, 'exchange_rate': 0.9447}
[2024-11-02T19:41:39.485+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1701027699484, 'account_id': 'A00666', 'customer_id': 'C00574', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00500', 'transaction_amount': 1654.08, 'exchange_rate': 0.7235}
[2024-11-02T19:41:39.503+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1722109299500, 'account_id': 'A00715', 'customer_id': 'C00108', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00441', 'transaction_amount': 437.01, 'exchange_rate': 1.323}
[2024-11-02T19:41:39.535+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1717357299535, 'account_id': 'A00041', 'customer_id': 'C00046', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00912', 'transaction_amount': 9945.23, 'exchange_rate': 1.1977}
[2024-11-02T19:41:39.551+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1713987699551, 'account_id': 'A00264', 'customer_id': 'C00762', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00746', 'transaction_amount': 2023.18, 'exchange_rate': 1.1895}
