[2024-11-02T19:41:14.180+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-10-10T00:00:00+00:00 [queued]>
[2024-11-02T19:41:14.278+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-10-10T00:00:00+00:00 [queued]>
[2024-11-02T19:41:14.279+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2024-11-02T19:41:14.397+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProduceOperator): generate_txn_fact_data> on 2024-10-10 00:00:00+00:00
[2024-11-02T19:41:14.416+0000] {standard_task_runner.py:57} INFO - Started process 2818 to run task
[2024-11-02T19:41:14.471+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'scheduled__2024-10-10T00:00:00+00:00', '--job-id', '174', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmphgfe22g6']
[2024-11-02T19:41:14.494+0000] {standard_task_runner.py:85} INFO - Job 174: Subtask generate_txn_fact_data
[2024-11-02T19:41:14.951+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data scheduled__2024-10-10T00:00:00+00:00 [running]> on host f79a3875bd34
[2024-11-02T19:41:15.394+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='codewithyu' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-10-10T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-10-10T00:00:00+00:00'
[2024-11-02T19:41:15.410+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.2', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.2', 9092) IPv4]
[2024-11-02T19:41:15.421+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2024-11-02T19:41:15.423+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.2', 9092)]>: Connection complete.
[2024-11-02T19:41:15.545+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2024-11-02T19:41:15.553+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-11-02T19:41:15.580+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1712000475576, 'account_id': 'A00900', 'customer_id': 'C00785', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00693', 'transaction_amount': 6362.46, 'exchange_rate': 0.6825}
[2024-11-02T19:41:15.587+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1726256475586, 'account_id': 'A00045', 'customer_id': 'C00090', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00984', 'transaction_amount': 5682.0, 'exchange_rate': 0.9493}
[2024-11-02T19:41:15.603+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1717616475601, 'account_id': 'A00853', 'customer_id': 'C00107', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00457', 'transaction_amount': 6013.85, 'exchange_rate': 0.6239}
[2024-11-02T19:41:15.612+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1722282075610, 'account_id': 'A00492', 'customer_id': 'C00827', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00031', 'transaction_amount': 3646.85, 'exchange_rate': 0.5122}
[2024-11-02T19:41:15.692+0000] {conn.py:380} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.2', 9092)]>: connecting to kafka_broker:9092 [('172.19.0.2', 9092) IPv4]
[2024-11-02T19:41:15.696+0000] {conn.py:410} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.19.0.2', 9092)]>: Connection complete.
[2024-11-02T19:41:15.701+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.19.0.2', 9092)]>: Closing connection. 
[2024-11-02T19:41:15.695+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1709062875695, 'account_id': 'A00088', 'customer_id': 'C00398', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00514', 'transaction_amount': 938.84, 'exchange_rate': 1.2141}
[2024-11-02T19:41:15.712+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1711309275711, 'account_id': 'A00950', 'customer_id': 'C00835', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00967', 'transaction_amount': 1492.77, 'exchange_rate': 1.1227}
[2024-11-02T19:41:15.739+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1699990875733, 'account_id': 'A00948', 'customer_id': 'C00565', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00682', 'transaction_amount': 4349.69, 'exchange_rate': 1.2348}
[2024-11-02T19:41:15.756+0000] {kafka_operator.py:63} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1718048475756, 'account_id': 'A00499', 'customer_id': 'C00100', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00213', 'transaction_amount': 4381.87, 'exchange_rate': 1.028}
